AKT2004;Administrasjon
FBI1002;Kommunikasjon, kunde og arbeidsliv
FBI1003;Tverrfaglig eksamen, frisør, blomster, interiør og eksponeringsdesign, for privatister
FFA2004;Fartøy og redskaper
FFA2005;Fangst og kvalitet
FFA2006;Tverrfaglig eksamen fiske og fangst
FFA3004;Fiske og fangst
FFA3103;Fiske og fangst, skriftlig
FGY3004;Forgyllerfaget - særløp
FGY3103;Forgyllerfaget, skriftlig
FIL3004;Filigranssølvsmedfaget
FIL3103;Filigranssølvsmedfaget, skriftlig
FJE3004;Fjell- og bergverksfaget, fordypningsområde fjellsikring
FJE3005;Fjell- og bergverksfaget, fordypningsområde knuseverk
FJE3006;Fjell- og bergverksfaget, fordypningsområde bergsprenging
FJE3103;Fjell- og bergverksfaget, fordypningsområde fjellsikring, skriftlig
FJE3104;Fjell- og bergverksfaget, fordypningsområde knuseverk, skriftlig
FJE3105;Fjell- og bergverksfaget, fordypningsområde bergsprenging, skriftlig
FLY2013;Elektrofag
FLY2014;Luftfartøylære
FLY2015;Material- og komponentlære
FLY3014;Luftfartøysystemer
FLY3015;Luftfartøysystemer, part 66-11A(B1.1)
FLY3016;Luftfartøysystemer, part 66-12(B1.3-B1.4)
FLY3017;Luftfartøysystemer, part 66-15(B1)
FLY3018;Luftfartøysystemer, part 66-17(B1)
FLY3019;Vedlikeholdsteknikk
FLY3020;Vedlikeholdsteknikk, part 66-7A(B1)
FLY3021;Vedlikeholdsteknikk, part 66-7A Essay 1(B1)
FLY3022;Vedlikeholdsteknikk, part 66-7A Essay 2(B1)
FLY3023;Flysikkerhet
FLY3024;Flysikkerhet, part 66-9A(B1B2)
FLY3025;Flysikkerhet, part 66-9A Essay(B1B2)
FLY3026;Flysikkerhet, part 66-10(B1B2)
FLY3027;Flysikkerhet, part 66-10 Essay(B1B2)
FLY4001;Luftfartøysystemer, part 66-16
FLY4002;Luftfartøysystemer, part 66-11B
FMF3001;Fundamenteringsfaget
FMF3103;Fundamenteringsfaget, skriftlig
FMK3004;Finmekanikerfaget
FMK3103;Finmekanikerfaget, skriftlig
FMO4004;Flymotormekanikerfaget
FOT2005;Helse, funksjon og bevegelse
FOT2006;Kommunikasjon og samhandling
FOT2007;Yrkesliv i fotterapi og ortopediteknikk
FOT2008;Tverrfaglig eksamen fotterapi og ortopediteknikk
FOT3005;Helse, funksjon og bevegelse
FOT3006;Kommunikasjon og samhandling
FOT3007;Yrkesliv i fotterapifaget
FOT3008;Tverrfaglig eksamen fotterapi
FRI2004;Kommunikasjon, klipp og frisyreforming
FRI2005;Hår, farge og strukturendring
FRI2006;Tverrfaglig eksamen frisør
FRI3004;Frisørfaget
FRI3103;Frisørfaget, skriftlig
FSP6138;Finsk I, 1. år
FSP6139;Finsk I
FSP6140;Finsk I, muntlig
FSP6141;Finsk II, 1. år
FSP6142;Finsk II
FSP6143;Finsk II, muntlig
FSP6144;Finsk I+II, 1. år
FSP6145;Finsk I+II, 2. år
FSP6148;Fransk I, 1. år
FSP6149;Fransk I
FSP6150;Fransk I, muntlig
FSP6151;Fransk II, 1. år
FSP6152;Fransk II
FSP6153;Fransk II, muntlig
FSP6154;Fransk I+II, 1. år
FSP6155;Fransk I+II, 2. år
FSP6156;Fransk I+II
FSP6157;Fransk I+II, muntlig
FSP6158;Italiensk I, 1. år
FSP6159;Italiensk I
FSP6160;Italiensk I, muntlig
FSP6161;Italiensk II, 1. år
FSP6162;Italiensk II
FSP6163;Italiensk II, muntlig
FSP6164;Italiensk I+II, 1. år
FSP6165;Italiensk I+II, 2. år
FSP6166;Italiensk I+II
FSP6167;Italiensk I+II, muntlig
FSP6168;Japansk I, 1. år
FSP6169;Japansk I
FSP6170;Japansk I, muntlig
FSP6171;Japansk II, 1. år
FSP6172;Japansk II
FSP6173;Japansk II, muntlig
FSP6174;Japansk I+II, 1. år
FSP6175;Japansk I+II, 2. år
FSP6176;Japansk I+II
FSP6177;Japansk I+II, muntlig
FSP6178;Lulesamisk I, 1. år
FSP6179;Lulesamisk I
FSP6180;Lulesamisk I, muntlig
FSP6181;Lulesamisk II, 1. år
FSP6182;Lulesamisk II
FSP6183;Lulesamisk II, muntlig
FSP6184;Lulesamisk I+II, 1. år
FSP6185;Lulesamisk I+II, 2. år
FSP6186;Lulesamisk I+II
FSP6187;Lulesamisk I+II, muntlig
FSP6188;Nordsamisk I, 1. år
FSP6189;Nordsamisk I
FSP6190;Nordsamisk I, muntlig
FSP6191;Nordsamisk II, 1. år
FSP6192;Nordsamisk II
FSP6193;Nordsamisk II, muntlig
FSP6194;Nordsamisk I+II, 1. år
FSP6195;Nordsamisk I+II, 2. år
FSP6196;Nordsamisk I+II
FSP6197;Nordsamisk I+II, muntlig
FSP6198;Sørsamisk I, 1. år
FSP6199;Sørsamisk I
